Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Adana Demirspor,4,38,38,3415,38,61,1.61,185,131,71.4,10,14,14,10,26.3,10,8,0,2,0
Alanyaspor,2,38,38,3420,38,50,1.32,155,107,69.7,12,16,10,9,23.7,3,3,0,0,0
Ankaragücü,3,38,38,3415,38,52,1.37,158,110,69.6,8,16,14,7,18.4,4,4,0,0,0
Antalyaspor,2,38,38,3420,38,49,1.29,166,121,72.9,12,13,13,8,21.1,5,4,0,1,0
Başakşehir,3,38,38,3420,38,43,1.13,138,99,71.7,18,7,13,13,34.2,6,4,2,0,33.3
Beşiktaş,2,38,38,3418,38,47,1.24,142,100,69.7,16,8,14,14,36.8,5,4,1,0,20
Fatih Karagümrük,3,38,38,3420,38,52,1.37,152,107,70.4,10,10,18,8,21.1,9,7,1,1,12.5
Fenerbahçe,4,38,38,3420,38,31,0.82,97,70,73.2,31,6,1,17,44.7,5,5,0,0,0
Galatasaray,2,38,38,3420,38,26,0.68,115,92,79.1,33,3,2,18,47.4,3,2,1,0,33.3
Gaziantep FK,2,38,38,3420,38,57,1.5,168,118,69.6,12,8,18,9,23.7,10,6,2,2,25
Hatayspor,2,38,38,3420,38,52,1.37,158,112,69.6,9,14,15,9,23.7,7,4,2,1,33.3
İstanbulspor,3,38,38,3420,38,79,2.08,204,137,65.7,4,7,26,3,7.9,12,9,3,0,25
Kasımpaşa,2,38,38,3420,38,65,1.71,166,108,63.9,16,8,14,8,21.1,8,5,2,1,28.6
Kayserispor,3,38,38,3420,38,57,1.5,190,140,73.7,11,12,15,8,21.1,8,7,1,0,12.5
Konyaspor,3,38,38,3420,38,53,1.39,122,79,63.9,9,14,15,12,31.6,10,9,1,0,10
Pendikspor,2,38,38,3420,38,73,1.92,170,102,59.4,9,10,19,5,13.2,5,4,1,0,20
Rizespor,2,38,38,3420,38,58,1.53,184,137,72.8,14,8,16,13,34.2,11,8,3,0,27.3
Samsunspor,2,38,38,3420,38,52,1.37,142,92,64.8,11,10,17,7,18.4,3,2,1,0,33.3
Sivasspor,2,38,38,3420,38,54,1.42,186,134,72.6,14,12,12,10,26.3,3,3,0,0,0
Trabzonspor,2,38,38,3420,38,51,1.34,151,106,70.2,20,4,13,10,26.3,6,6,0,0,0
