Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Adana Demirspor,44,38.0,81,8,4,422,509,70,607,318,393,,2
Alanyaspor,25,38.0,87,4,2,427,461,80,670,295,355,,1
Ankaragücü,31,38.0,67,3,1,426,389,62,572,358,353,,1
Antalyaspor,27,38.0,78,4,1,471,485,34,747,375,358,,0
Başakşehir,35,38.0,84,5,4,499,479,91,574,326,325,,2
Beşiktaş,37,38.0,92,4,1,519,458,54,748,359,370,,1
Fatih Karagümrük,35,38.0,96,7,2,483,457,63,705,334,323,,3
Fenerbahçe,33,38.0,96,5,4,516,525,78,775,346,409,,0
Galatasaray,32,38.0,66,1,1,523,428,78,844,336,411,,1
Gaziantep FK,30,38.0,85,4,3,441,440,54,597,442,412,,2
Hatayspor,33,38.0,106,1,1,535,353,71,615,291,341,,2
İstanbulspor,34,38.0,94,6,4,447,412,61,539,344,362,,1
Kasımpaşa,32,38.0,70,2,0,460,439,90,737,391,386,,2
Kayserispor,33,38.0,84,4,2,505,323,84,681,327,337,,2
Konyaspor,36,38.0,75,2,1,424,471,76,622,349,387,,3
Pendikspor,35,38.0,89,6,5,456,436,81,786,339,408,,2
Rizespor,29,38.0,91,3,1,499,443,66,693,354,420,,0
Samsunspor,33,38.0,80,3,1,552,384,72,682,376,400,,1
Sivasspor,34,38.0,78,3,1,434,478,63,536,296,329,,1
Trabzonspor,33,38.0,65,1,1,461,500,47,657,311,373,,1
