Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Adana Demirspor,44,28.2,38,3420,90,100,38.0,418,81,249,162,22,215,1.16,54,61,-7,-0.18
Alanyaspor,25,28.0,38,3420,90,100,38.0,418,83,264,152,17,228,1.37,53,50,3,0.08
Ankaragücü,31,27.5,38,3420,90,100,38.0,418,81,240,175,20,205,1.05,46,52,-6,-0.16
Antalyaspor,27,29.1,38,3420,90,100,38.0,418,83,260,154,19,217,1.29,44,49,-5,-0.13
Başakşehir,35,28.4,38,3420,90,100,38.0,418,82,235,179,18,193,1.61,57,43,14,0.37
Beşiktaş,37,27.8,38,3420,90,100,38.0,418,81,251,166,21,214,1.47,52,47,5,0.13
Fatih Karagümrük,35,28.8,38,3420,90,100,38.0,418,81,239,175,20,202,1.05,49,52,-3,-0.08
Fenerbahçe,33,28.3,38,3420,90,100,38.0,418,82,249,165,19,212,2.61,99,31,68,1.79
Galatasaray,32,28.4,38,3420,90,100,38.0,418,83,230,187,17,191,2.68,92,26,66,1.74
Gaziantep FK,30,29.6,38,3420,90,100,38.0,418,84,270,145,16,231,1.16,50,57,-7,-0.18
Hatayspor,33,25.8,38,3420,90,100,38.0,418,82,239,180,19,197,1.08,45,52,-7,-0.18
İstanbulspor,34,26.4,38,3420,90,100,38.0,418,82,246,168,18,200,0.50,27,80,-53,-1.39
Kasımpaşa,32,27.7,38,3420,90,100,38.0,418,85,299,118,16,236,1.47,62,65,-3,-0.08
Kayserispor,33,28.0,38,3420,90,100,38.0,418,84,266,148,17,229,1.18,44,57,-13,-0.34
Konyaspor,36,28.5,38,3420,90,100,38.0,418,82,247,169,19,210,1.08,40,53,-13,-0.34
Pendikspor,35,29.5,38,3420,90,100,38.0,418,82,253,159,19,212,0.97,42,73,-31,-0.82
Rizespor,29,25.4,38,3420,90,100,38.0,418,82,252,167,19,209,1.32,48,58,-10,-0.26
Samsunspor,33,27.7,38,3420,90,100,38.0,418,80,233,185,23,195,1.13,42,52,-10,-0.26
Sivasspor,34,29.6,38,3420,90,100,38.0,418,83,254,165,18,210,1.42,47,54,-7,-0.18
Trabzonspor,33,26.9,38,3420,90,100,38.0,418,83,268,150,18,229,1.76,69,50,19,0.50
