Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
Adana Demirspor,44,28.2,51.9,38,418,3420,38.0,53,30,83,45,8,8,81,8,1.39,0.79,2.18,1.18,1.97
Alanyaspor,25,28.0,52.7,38,418,3420,38.0,52,30,82,47,5,7,87,4,1.37,0.79,2.16,1.24,2.03
Ankaragücü,31,27.5,48.3,38,418,3420,38.0,45,30,75,41,4,5,67,3,1.18,0.79,1.97,1.08,1.87
Antalyaspor,27,29.1,51.2,38,418,3420,38.0,43,33,76,39,4,5,78,4,1.13,0.87,2.0,1.03,1.89
Başakşehir,35,28.4,53.0,38,418,3420,38.0,55,36,91,50,5,6,84,5,1.45,0.95,2.39,1.32,2.26
Beşiktaş,37,27.8,55.0,38,418,3420,38.0,51,37,88,48,3,6,92,4,1.34,0.97,2.32,1.26,2.24
Fatih Karagümrük,35,28.8,50.0,38,418,3420,38.0,47,37,84,45,2,3,96,7,1.24,0.97,2.21,1.18,2.16
Fenerbahçe,33,28.3,57.1,38,418,3420,38.0,95,64,159,83,12,17,96,5,2.5,1.68,4.18,2.18,3.87
Galatasaray,32,28.4,61.0,38,418,3420,38.0,90,59,149,79,11,13,66,1,2.37,1.55,3.92,2.08,3.63
Gaziantep FK,30,29.6,42.1,38,418,3420,38.0,48,33,81,45,3,6,85,4,1.26,0.87,2.13,1.18,2.05
Hatayspor,33,25.8,47.3,38,418,3420,38.0,44,29,73,39,5,7,106,1,1.16,0.76,1.92,1.03,1.79
İstanbulspor,34,26.4,46.8,38,418,3420,38.0,28,18,46,27,1,3,94,6,0.74,0.47,1.21,0.71,1.18
Kasımpaşa,32,27.7,47.2,38,418,3420,38.0,59,39,98,54,5,6,70,2,1.55,1.03,2.58,1.42,2.45
Kayserispor,33,28.0,52.1,38,418,3420,38.0,42,28,70,37,5,6,84,4,1.11,0.74,1.84,0.97,1.71
Konyaspor,36,28.5,46.5,38,418,3420,38.0,40,24,64,31,9,9,75,2,1.05,0.63,1.68,0.82,1.45
Pendikspor,35,29.5,50.0,38,418,3420,38.0,42,28,70,37,5,7,89,6,1.11,0.74,1.84,0.97,1.71
Rizespor,29,25.4,47.3,38,418,3420,38.0,47,39,86,46,1,2,91,3,1.24,1.03,2.26,1.21,2.24
Samsunspor,33,27.7,47.2,38,418,3420,38.0,41,24,65,34,7,8,80,3,1.08,0.63,1.71,0.89,1.53
Sivasspor,34,29.6,41.7,38,418,3420,38.0,46,29,75,41,5,5,78,3,1.21,0.76,1.97,1.08,1.84
Trabzonspor,33,26.9,52.8,38,418,3420,38.0,66,44,110,62,4,4,65,1,1.74,1.16,2.89,1.63,2.79
