POS,TEAM,XG RATIO,SHOTS,XG,GOALS,SP SHOTS,SP XG,SP GOALS
1,GALATASARAY,0.20,525,52.99,64,203,16.16,15
2,FENERBAHÇE,0.14,504,66.51,70,147,13.27,13
3,TRABZONSPOR,0.20,361,35.13,47,149,9.55,14
4,ISTANBUL BASAKSEHIR,0.19,323,37.84,41,115,9.94,9
5,KASIMPASA,0.21,403,36.28,41,129,10.77,13
6,BESIKTAS,0.22,375,33.66,35,133,11.04,13
7,SIVASSPOR,0.21,299,28.19,32,130,8.78,9
8,ALANYASPOR,0.19,338,37.68,40,107,9.92,7
9,CAYKUR RIZESPOR,0.23,357,37.50,33,133,11.65,13
10,ANTALYASPOR,0.27,343,26.95,32,152,11.61,7
11,GAZIANTEP FK,0.26,278,29.54,29,150,12.08,16
12,ADANA DEMIRSPOR,0.16,385,36.78,38,134,8.10,8
13,SAMSUNSPOR,0.20,310,29.31,21,141,9.00,13
14,KAYSERISPOR,0.19,336,33.19,25,116,9.14,12
15,HATAYSPOR,0.22,311,29.14,29,100,9.68,10
16,KONYASPOR,0.26,269,22.25,24,138,10.48,7
17,ANKARAGÜCÜ,0.15,354,31.25,33,98,6.12,8
18,FATIH KARAGÜMRÜK,0.18,349,32.63,40,109,7.83,5
19,PENDIKSPOR,0.20,325,33.65,27,118,9.93,10
20,ISTANBULSPOR,0.10,318,32.09,25,72,3.97,1
