POS,TEAM,PPDA,TOTAL,SHOT ENDING,GOAL ENDING
1,GALATASARAY,7.3,344,64,3
2,FENERBAHÇE,9.4,351,80,16
3,TRABZONSPOR,10.6,285,45,5
4,ISTANBUL BASAKSEHIR,12.4,246,27,1
5,KASIMPASA,12.2,300,57,8
6,BESIKTAS,10.2,273,41,4
7,SIVASSPOR,16.5,178,30,0
8,ALANYASPOR,13.2,269,39,4
9,CAYKUR RIZESPOR,12.5,201,36,4
10,ANTALYASPOR,11.7,241,48,2
11,GAZIANTEP FK,14.1,232,35,7
12,ADANA DEMIRSPOR,11.5,269,52,6
13,SAMSUNSPOR,10.7,330,58,2
14,KAYSERISPOR,11.5,270,50,6
15,HATAYSPOR,13.5,229,37,6
16,KONYASPOR,14.4,246,32,3
17,ANKARAGÜCÜ,13.8,234,42,1
18,FATIH KARAGÜMRÜK,13.2,303,49,3
19,PENDIKSPOR,12.3,285,36,5
20,ISTANBULSPOR,14.1,237,52,7
